id	册	章	raw页	tex行	类型	严重度	描述	状态	证据	commit
物理3-25	物理（第三册）	第5章	329	25106-25116	图拓扑	高	图5.13 直流发电机转子 TikZ 原圆+辐条，缺轴上换向器分片与电枢铁心/端绕组拓扑	已修	raw PDF p332=印刷·329·；fig-p0332-05；B03 已按 raw 重画 TikZ	e0566e4
物理3-26	物理（第三册）	第6章	418	30473-30504	图拓扑	中	图6.43 真空二极管 (a)(b) 过简，缺管泡底座管脚与阳极筒/管脚标注拓扑	已修	raw PDF p421=印刷·418·；fig-p0421-01/02；B03 已按 raw 重画 TikZ	e0566e4
物理3-27	物理（第三册）	第6章	418	30507-30532	图拓扑	中	图6.44 旁热式阴极 (a) 原方框双竖线，缺圆筒阴极套内折线灯丝构造	已修	raw PDF p421=印刷·418·；fig-p0421-04；B03 已按 raw 重画 TikZ	e0566e4
物理3-28	物理（第三册）	第6章	419	30570-30593	图拓扑	高	图6.46(a) 三极管结构原圆内虚线占位，缺阳极/栅极螺旋/阴极/灯丝立体与栅极放大插图	已修	raw PDF p422=印刷·419·；fig-p0422-03；B03 已按 raw 重画 TikZ	e0566e4
物理3-29	物理（第三册）	第7章	456	32095-32125	图拓扑	中	图7.25 TikZ 自造放大镜网点；印刷为发射铁塔网纹照片，改为格构铁塔示意图	已修	raw PDF p459=印刷·456·；fig-p0459-01；B03 已按 assets/raw 重画 TikZ	e0566e4
物理3-30	物理（第三册）	第1章	37	1971	错标	低	习题1.5第3题(a) caption 误作「(4)」→「(a)」	已修	raw PDF p40=印刷·37·；fig-p0040-01；B04 已改	6ed3fc3
物理3-31	物理（第三册）	第1章	38	2026-2075	图拓扑	中	图1.24 多标B；PMNL 应为虚线矩形；θ 应在PL与PN之间	已修	raw PDF p41=印刷·38·；fig-p0041-01；B04 已按 raw 重画 TikZ	6ed3fc3
物理3-32	物理（第三册）	第2章	120	7688-7707	图拓扑	高	图2.17 电阻箱 TikZ 缺箱体插塞外形与铜块排/插拔/电流箭结构示意	已修	raw PDF p123=印刷·120·；fig-p0123-02；B04 已按 raw 重画 TikZ	6ed3fc3
物理3-33	物理（第三册）	第2章	122	7906	图题OCR	高	图2.19 caption OCR「源分电路」→「部分电路」	已修	raw PDF p125=印刷·122·；B04 已改 caption	6ed3fc3
物理3-34	物理（第三册）	第6章	374	28161-28182	缺标	中	图6.8 N型简化缺 ⊕ 五价杂质离子与图例（自由电子）	已修	raw PDF p377=印刷·374·；fig-p0377-02；B04 已补	6ed3fc3
物理3-35	物理（第三册）	第6章	399	29671-29719	错标/图拓扑	高	图6.31(c) PNP 发射极箭向外≠印刷指向基极；缺(b)集电/基/发射区与结标注	已修	raw PDF p402=印刷·399·；fig-p0402；B04 已改	6ed3fc3
物理3-36	物理（第三册）	第7章	436	31342-31355	图拓扑	高	图7.8 缺正交 E/B 正弦波示意（原过简）	已修	raw PDF p439=印刷·436·；fig-p0439-02；B04 已按 raw 重画 TikZ	6ed3fc3
物理3-37	物理（第三册）	第7章	436	31366	内容疑误	高	电磁波真空波速误作 \(3.00\times10^{6}\) 米/秒 → \(10^{8}\)（对照同页叙述与印刷）	已修	raw PDF p439=印刷·436·；邻接图7.8；B04 已改正文	6ed3fc3
物理3-38	物理（第三册）	第1章	4	241-254	错标	中	图1.3 图例 OCR「② 质子」→「⊕ 质子」	已修	raw PDF p7=印刷·4·；fig-p0007-01；B05 已改	fff506f
物理3-39	物理（第三册）	第1章	7	269-328	图题OCR/正文OCR	高	图1.4 图例「③ 正离子」→「⊕」；邻接「半周地」→「牢固地」、「束缠」→「束缚」；图前后并段清理	已修	raw PDF p10=印刷·7·；fig-p0010-01；B05 已改	fff506f
物理3-40	物理（第三册）	第1章	10	486-514	图拓扑	高	图1.6 缺感应棒+、顶板−、箔叶+ 电荷拓扑（原过简）	已修	raw PDF p13=印刷·10·；fig-p0013；B05 已按 raw 重画	fff506f
物理3-41	物理（第三册）	第1章	33	1735-1750	图拓扑	中	图1.20 电力线 8 辐→印刷约 12 辐	已修	raw PDF p36=印刷·33·；B05 已改	fff506f
物理3-42	物理（第三册）	第1章	34	1765-1778	图拓扑	中	图1.21 电力线 8 辐→印刷约 12 辐（向内）	已修	raw PDF p37=印刷·34·；B05 已改	fff506f
物理3-43	物理（第三册）	第1章	35	1787-1879	图题OCR	中	图1.22 caption 仅 (a)，(b) 落在 emph → 合并入 caption	已修	raw PDF p38=印刷·35·；B05 已改	fff506f
物理3-44	物理（第三册）	第3章	204	14148-14193	缺标/图题OCR	高	图3.10 缺沿线小磁针；caption「分布」→「不同」	已修	raw PDF p207=印刷·204·；fig-p0207-01；B05 已补针改 caption	fff506f
物理3-45	物理（第三册）	第3章	206	14260-14290	图拓扑	高	图3.13 同号极间误连成异号样，应相斥外凸中性区	已修	raw PDF p209=印刷·206·；B05 已重画	fff506f
物理3-46	物理（第三册）	第3章	208	14630-14647	图拓扑	中	图3.16 缺铁屑同心圆点阵（电流向上与印刷一致）	已修	raw PDF p211=印刷·208·；B05 已补铁屑点	fff506f
物理3-47	物理（第三册）	第3章	209	14681-14729	图拓扑/缺标	高	图3.18 拇指向左≠印刷向右；缺「磁力线方向」标	已修	raw PDF p212=印刷·209·；fig-p0212-01；B05 已镜像并补标	fff506f
物理3-48	物理（第三册）	第3章	215	15403	正文OCR	中	邻接图3.27：「如图3.276」→「3.27b」；「方向也要改变（向下）」去掉误括号	已修	raw PDF p218=印刷·215·；B05 已改正文	fff506f
物理3-49	物理（第三册）	第1章	49	2755-2773	缺标	中	图1.32 缺 AB 间距尺寸线；E 宜标为向量	已修	raw PDF p52=印刷·49·；fig-p0052-01；B06 已补	3c769fb
物理3-50	物理（第三册）	第1章	52	2953-2979	错标	高	图1.35 等势面标 OCR 乱序「U1,U6,…,U1」→印刷「U7…U1」（沿场强递减）	已修	raw PDF p55=印刷·52·；fig-p0055-01；B06 已改	3c769fb
物理3-51	物理（第三册）	第1章	55	3181-3200	缺标/图拓扑	中	图1.37 质子缺 +q/+；A 板未示小孔	已修	raw PDF p58=印刷·55·；fig-p0058-01；B06 已补	3c769fb
物理3-52	物理（第三册）	第1章	56	3234-3282	错标	中	图1.38 坐标 X/Y→x/y；下板短划→−；出口水平分速 v0→vx；补原点 O	已修	raw PDF p59=印刷·56·；fig-p0059-01；B06 已改	3c769fb
物理3-53	物理（第三册）	第1章	61	3507-3558	图拓扑	高	图1.42 密立根过简：缺喷雾器/A 孔/电池与接地/显微镜姿态	已修	raw PDF p64=印刷·61·；fig-p0064-01；B06 已按 raw 重画	3c769fb
物理3-54	物理（第三册）	第1章	67	3847-3889	图拓扑	中	图1.44 绝缘支座剖面线仅颈柱、底座空 → 支座整体剖面线	已修	raw PDF p70=印刷·67·；fig-p0070-01；B06 已改	3c769fb
物理3-55	物理（第三册）	第1章	63	3710-3721	图拓扑/错标	中	习题1.7(第5题) 波形缺回落后续；纵轴 U→u；t 轴宜虚线	已修	raw PDF p66=印刷·63·；fig-p0066-02；B06 已改	3c769fb
物理3-56	物理（第三册）	第1章	63	3649	正文OCR	中	习题1.7第4题「飞向三根」→「飞向阳极」；「小孔内后」→「小孔后再」	已修	raw PDF p66=印刷·63·；邻接第4题附图；B06 已改正文	3c769fb
物理3-57	物理（第三册）	第1章	74	4360-4398	图拓扑	中	图1.51 空筒缺同高液面与刻度（电容类比）	已修	raw PDF p77=印刷·74·；fig-p0077-01；B07 已补液面/刻度/底座	73fe66f
物理3-58	物理（第三册）	第1章	77	4471-4518	缺标	中	图1.52 B 板缺负号（印刷内侧有 −）	已修	raw PDF p80=印刷·77·；fig-p0080-01；B07 已补	73fe66f
物理3-59	物理（第三册）	第1章	78	4524-4605	图拓扑/缺标	高	图1.53 过简：缺底座导轨、静电计 Z/D/M/刻度与接地连线	已修	raw PDF p81=印刷·78·；fig-p0081-01；B07 已按 raw 重画	73fe66f
物理3-60	物理（第三册）	第1章	87	5140-5225	图拓扑/图题OCR	高	图1.59 叠片未分奇偶汇流；caption「荷守」→「多片电容器并联」	已修	raw PDF p90=印刷·87·；fig-p0090-01；B07 已改拓扑与 caption	73fe66f
物理3-61	物理（第三册）	第2章	103	6205	图题OCR	高	图2.2 caption「瞬时电发」→「瞬时电流」	已修	raw PDF p106=印刷·103·；B07 已改	73fe66f
物理3-62	物理（第三册）	第2章	102	6155-6180	缺标	低	图2.1 极板标 A/B 原在下方 → 改到板上方（对照印刷）	已修	raw PDF p105=印刷·102·；B07 已改	73fe66f
物理3-63	物理（第三册）	第2章	106	6418	正文OCR	中	图2.5 邻接说明「短电线表示负极」→「短粗线表示负极」	已修	raw PDF p109=印刷·106·；邻接图2.5；B07 已改	73fe66f
物理3-64	物理（第三册）	第2章	113	7396-7442	图拓扑/缺标	高	图2.13 仪表缺圆内 A/V、伏特表未明确并接 PQ、电池组示意过简	已修	raw PDF p116=印刷·113·；B08 已按 raw 重画	6008aca
物理3-65	物理（第三册）	第2章	130	8470-8525	错标	中	图2.21 电压 U1/U2/U 宜双向尺寸箭，虚降线勿另加向下箭	已修	raw PDF p133=印刷·130·；fig-p0133-01；B08 已改	6008aca
物理3-66	物理（第三册）	第2章	132	8603-8652	错标	中	图2.22 总压 U 宜双向尺寸箭	已修	raw PDF p135=印刷·132·；fig-p0135-01；B08 已改	6008aca
物理3-67	物理（第三册）	第2章	146	9795-9894	图拓扑/错标	高	图2.35 力标误作 Fd/Fm，宜 F化/F电；各态电荷与相对箭长对照印刷	已修	raw PDF p149=印刷·146·；B08 已按 raw 重画	6008aca
物理3-68	物理（第三册）	第2章	165	11074-11125	错标	中	图2.47 电压 U 示意宜双向箭（跨并联段）	已修	raw PDF p169=印刷·165·；B08 已改	6008aca
物理3-69	物理（第三册）	第2章	176	11980-12009	图拓扑/缺标	高	图2.54 缺电键 K、电池正负与灯 L 完整外电路	已修	raw PDF p179=印刷·176·；fig-p0179-01；B08 已补	6008aca
物理3-70	物理（第三册）	第2章	176	12022-12063	图拓扑/缺标	高	图2.55 离子导电 TikZ 过简：缺电极±、Na+/Cl−定向箭、E、电池B与检流计G	已修	raw PDF p179=印刷·176·；fig-p0179；B09 已按 raw 重画	d741316
物理3-71	物理（第三册）	第2章	177	12078-12110	图拓扑/正文OCR	高	图2.56 缺气泡/离子箭/电极±；正文「阳极板（1）」「氧原子」「移向阴极板（A）」等 OCR	已修	raw PDF p180=印刷·177·；B09 已重画 TikZ 并改正文为阳极板（A）/氢原子/移向阳极板（A）	d741316
物理3-72	物理（第三册）	第2章	180	12338	正文OCR	中	邻接图2.57：「气体的被激励电气体」→「气体的被激导电。气体…」	已修	raw PDF p183=印刷·180·；B09 已改正文	d741316
物理3-73	物理（第三册）	第2章	184	12408-12435	图题OCR/图拓扑	高	图2.59 caption「钢薄」→「稀薄」；TikZ 补电极/辉光示意/抽气支管与高压电源±	已修	raw PDF p187=印刷·184·；fig-p0187-02；B09 已改	d741316
物理3-74	物理（第三册）	第2章	189	12664-12687	缺标	中	图2.60 反接回路缺顺时针电流 I 箭（左↑右↓）	已修	raw PDF p192=印刷·189·；fig-p0192-01；B09 已补 I 箭	d741316
物理3-75	物理（第三册）	第3章	201	13993	图题OCR	低	图3.3 caption「磁极」→「磁性」	已修	raw PDF p204=印刷·201·；B09 已改	d741316
物理3-76	物理（第三册）	第3章	201	14121	图题OCR	低	图3.6 caption「独立」→「孤立」	已修	raw PDF p204=印刷·201·；B09 已改	d741316
物理3-77	物理（第三册）	第3章	203	14232-14280	图题OCR/图拓扑	高	图3.9 caption「磁电」→「磁性」；TikZ 过简，宜电表/扬声器/显像管三应用并标「磁体」	已修	raw PDF p206=印刷·203·；fig-p0206-01；B09 已重画	d741316
物理3-78	物理（第三册）	第3章	209	14883-14915	图题OCR/图拓扑	高	图3.19 caption「对形…」→「环形电流的磁场中的磁力线」；TikZ 补板上磁力线/铁屑示意	已修	raw PDF p212=印刷·209·；fig-p0212-02；B09 已改	d741316
